Date : 2023-08-27 20:11:22
Directory : d:\react\my_court_query_system\my_court_query_system
Total : 51 files,  37069 codes, 789 comments, 463 blanks, all 38321 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\react\my_court_query_system\my_court_query_system\package-lock.json                                                       | JSON       |     32,964 |          0 |          1 |     32,965 |
| d:\react\my_court_query_system\my_court_query_system\package.json                                                            | JSON       |         54 |          0 |          1 |         55 |
| d:\react\my_court_query_system\my_court_query_system\public\index.html                                                       | HTML       |         20 |         23 |          1 |         44 |
| d:\react\my_court_query_system\my_court_query_system\public\manifest.json                                                    | JSON       |         25 |          0 |          1 |         26 |
| d:\react\my_court_query_system\my_court_query_system\src\App.css                                                             | CSS        |         33 |          0 |          6 |         39 |
| d:\react\my_court_query_system\my_court_query_system\src\App.js                                                              | JavaScript |         18 |          0 |          4 |         22 |
| d:\react\my_court_query_system\my_court_query_system\src\App.test.js                                                         | JavaScript |          7 |          0 |          2 |          9 |
| d:\react\my_court_query_system\my_court_query_system\src\api.js                                                              | JavaScript |         16 |          8 |          6 |         30 |
| d:\react\my_court_query_system\my_court_query_system\src\components\AddInfoBar\AddInfoBar.js                                 | JavaScript |        103 |         28 |         18 |        149 |
| d:\react\my_court_query_system\my_court_query_system\src\components\AdminHeaderOld\AdminHeaderOld.js                         | JavaScript |        222 |          7 |         10 |        239 |
| d:\react\my_court_query_system\my_court_query_system\src\components\AdminHeader\AdminHeader.js                               | JavaScript |        146 |         29 |         19 |        194 |
| d:\react\my_court_query_system\my_court_query_system\src\components\AdminMain\AdminMain.js                                   | JavaScript |         46 |         41 |          8 |         95 |
| d:\react\my_court_query_system\my_court_query_system\src\components\AdminPageItemInfoShowTable\AdminPageItemInfoShowTable.js | JavaScript |        101 |         15 |         16 |        132 |
| d:\react\my_court_query_system\my_court_query_system\src\components\AdminSlider\AdminSlider.js                               | JavaScript |        178 |          2 |          8 |        188 |
| d:\react\my_court_query_system\my_court_query_system\src\components\ConfirmationDialog\ConfirmationDialog.js                 | JavaScript |         21 |          0 |          3 |         24 |
| d:\react\my_court_query_system\my_court_query_system\src\components\CourtInfo\CourtInfo.css                                  | CSS        |          0 |          0 |          1 |          1 |
| d:\react\my_court_query_system\my_court_query_system\src\components\CourtInfo\CourtInfo.js                                   | JavaScript |         88 |         91 |         15 |        194 |
| d:\react\my_court_query_system\my_court_query_system\src\components\ErrorMsg\ErrorMsg.js                                     | JavaScript |         43 |         11 |          5 |         59 |
| d:\react\my_court_query_system\my_court_query_system\src\components\EvaluateZone\EvaluateZone.js                             | JavaScript |        193 |          4 |         19 |        216 |
| d:\react\my_court_query_system\my_court_query_system\src\components\FindTeam\FindTeam.js                                     | JavaScript |        127 |         21 |         10 |        158 |
| d:\react\my_court_query_system\my_court_query_system\src\components\Header\Header.css                                        | CSS        |          7 |          1 |          1 |          9 |
| d:\react\my_court_query_system\my_court_query_system\src\components\Header\Header.js                                         | JavaScript |         98 |         39 |         18 |        155 |
| d:\react\my_court_query_system\my_court_query_system\src\components\ImageCarousel\ImageCarousel.js                           | JavaScript |         71 |         23 |          9 |        103 |
| d:\react\my_court_query_system\my_court_query_system\src\components\InfoListSearch\InfoListSearch.js                         | JavaScript |        263 |         19 |         13 |        295 |
| d:\react\my_court_query_system\my_court_query_system\src\components\LoginForm\LoginForm.js                                   | JavaScript |         96 |          3 |          8 |        107 |
| d:\react\my_court_query_system\my_court_query_system\src\components\QueryForm\QueryForm.js                                   | JavaScript |        157 |         58 |         20 |        235 |
| d:\react\my_court_query_system\my_court_query_system\src\components\RegisterForm\RegisterForm.js                             | JavaScript |        130 |          4 |         11 |        145 |
| d:\react\my_court_query_system\my_court_query_system\src\components\ShowQueryData\ShowQueryData.js                           | JavaScript |         90 |         50 |         22 |        162 |
| d:\react\my_court_query_system\my_court_query_system\src\components\ShowTeamData\ShowTeamData.js                             | JavaScript |         68 |         13 |         12 |         93 |
| d:\react\my_court_query_system\my_court_query_system\src\components\ShowTodayEvent\ShowTodayEvent.js                         | JavaScript |         64 |         45 |         14 |        123 |
| d:\react\my_court_query_system\my_court_query_system\src\components\Test2\Test2.js                                           | JavaScript |         50 |          7 |          2 |         59 |
| d:\react\my_court_query_system\my_court_query_system\src\components\TestDiv\TestDiv.js                                       | JavaScript |         50 |          7 |          3 |         60 |
| d:\react\my_court_query_system\my_court_query_system\src\components\TimeShow\TimeShow.js                                     | JavaScript |         99 |         72 |         21 |        192 |
| d:\react\my_court_query_system\my_court_query_system\src\components\TodayEvent\TodayEvent.js                                 | JavaScript |        211 |         15 |         12 |        238 |
| d:\react\my_court_query_system\my_court_query_system\src\highOrderComponent\MakeDateParameter.js                             | JavaScript |         16 |          6 |          4 |         26 |
| d:\react\my_court_query_system\my_court_query_system\src\index.css                                                           | CSS        |         12 |          0 |          2 |         14 |
| d:\react\my_court_query_system\my_court_query_system\src\index.js                                                            | JavaScript |         23 |         18 |          6 |         47 |
| d:\react\my_court_query_system\my_court_query_system\src\logo.svg                                                            | XML        |          1 |          0 |          0 |          1 |
| d:\react\my_court_query_system\my_court_query_system\src\pages\AdminPageAddItempage\AdminPageAddItempage.js                  | JavaScript |        367 |         16 |         15 |        398 |
| d:\react\my_court_query_system\my_court_query_system\src\pages\AdminPageEditItempage\AdminPageEditItempage.js                | JavaScript |        371 |         22 |         21 |        414 |
| d:\react\my_court_query_system\my_court_query_system\src\pages\AdminPageInfoShow\AdminPageInfoShow.js                        | JavaScript |         32 |          3 |          7 |         42 |
| d:\react\my_court_query_system\my_court_query_system\src\pages\AdminPage\AdminPage.js                                        | JavaScript |         93 |         43 |         18 |        154 |
| d:\react\my_court_query_system\my_court_query_system\src\pages\CourtInfoPage\CourtInfoPage.js                                | JavaScript |         25 |          7 |          5 |         37 |
| d:\react\my_court_query_system\my_court_query_system\src\pages\HomePage\HomePage.js                                          | JavaScript |         92 |         27 |         17 |        136 |
| d:\react\my_court_query_system\my_court_query_system\src\pages\LoginPage\LoginPage.js                                        | JavaScript |         16 |          0 |          3 |         19 |
| d:\react\my_court_query_system\my_court_query_system\src\pages\RegisterPage\RegisterPage.js                                  | JavaScript |         12 |          0 |          3 |         15 |
| d:\react\my_court_query_system\my_court_query_system\src\reportWebVitals.js                                                  | JavaScript |         12 |          0 |          2 |         14 |
| d:\react\my_court_query_system\my_court_query_system\src\router-config.js                                                    | JavaScript |         72 |          4 |          3 |         79 |
| d:\react\my_court_query_system\my_court_query_system\src\setupTests.js                                                       | JavaScript |          1 |          4 |          1 |          6 |
| d:\react\my_court_query_system\my_court_query_system\src\store.js                                                            | JavaScript |         27 |          3 |          3 |         33 |
| Total                                                                                                                        |            |     37,069 |        789 |        463 |     38,321 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
